?qid	?target_col	?target_col_guid
Q1027026	N00030752	Q1027026-FF6CBAFF-E01F-4591-93E5-AF250D54F00B
Q1029527	N00031857	Q1029527-7981DDE2-AC22-4824-898D-28FA6507BDAA
Q10390	N00006424	Q10390-D1B5D754-F8E4-41DB-BE4E-321B447FBF8D
Q1059265	N00001746	Q1059265-9B962DA2-A90D-4EC7-82B6-CD30D682BE75
Q1077594	N00027566	Q1077594-B6329240-FAC9-4DD4-B512-4A2D9C408E76
Q1077819	N00013820	Q1077819-0AA85EF0-2116-421F-AE6E-8CAB50BF10FA
Q10853588	N00036915	Q10853588-E72BBA75-FCD2-4AF4-8F44-5BCA2808326A
Q11112119	N00033842	Q11112119-989E4FB8-A5AF-4187-B740-7385F2064BC8
Q11116	N99999924	Q11116-5a6349cd-4b0d-338a-a4ce-30e6d2961524
Q1112656	N00000515	Q1112656-C01B5345-A536-461B-88C9-8BF1E5817313
Q1135767	N00035267	Q1135767-326AA171-2BC9-4A2A-9089-E4B70BD0A79A
Q1135774	N00030780	Q1135774-E1A5B2C3-76BA-4C88-BE9C-0DCA98743520
Q1158992	N00031934	Q1158992-096F6969-EBCE-4413-A94E-212E9F20C1B2
Q1163099	N00026335	Q1163099-91533DEB-368A-4B17-9003-893F142BDDC8
Q1164657	N00004884	Q1164657-6E1672B9-16F9-4293-AEEA-398A4CAA9C24
Q1166592	N00007017	Q1166592-D107612A-4D5E-4DFE-808B-98F7D9DE94F0
Q11669	N00002424	Q11669-1069822D-1726-4AF4-A92F-6F47DAD263C2
Q1167934	N00033316	Q1167934-AA484E2B-C512-4421-9653-BA0C57F0E423
Q1175610	N00031681	Q1175610-0D903779-FF52-4305-8453-DA7F23B564A5
Q1176561	N00006460	Q1176561-BF7DC548-C857-42A0-A721-6DBC982831C3
Q1188940	N00030645	Q1188940-A7567A4A-AFF4-4471-A506-828626C320BD
Q1235731	N00031412	Q1235731-54FC8BE7-7596-49CC-8C54-7233A42D8FE0
Q1239590	N00007999	Q1239590-B29EB815-D6B5-4FE0-A8B8-54F2E80EEB15
Q1240224	N00034639	Q1240224-B849CAEF-EF04-45C0-B477-3778F2BCB2C7
Q1281084	N00028418	Q1281084-73CCC22C-3432-45E5-A81A-9F784F39D53C
Q1282411	N00000270	Q1282411-43C1F244-1774-4EE6-8B69-794975EC5528
Q1282477	N00008264	Q1282477-84A591D5-F032-44A1-95C6-ED0090CF119E
Q1289889	N00002408	Q1289889-3175CDB1-6DF2-4757-A2CF-41F242C5C9F9
Q1289901	N00003218	Q1289901-b93c9343-46dc-2f4a-d72f-ded15f79f199
Q130024	N00002593	Q130024-4A5AB89B-2D2D-44FE-AB99-29D7B52F5328
Q132071	N00024871	Q132071-813CFAA2-C2E5-4779-B77A-0B19476370F5
Q1323196	N00007419	Q1323196-B603E439-EF1A-4B92-AFC0-ECE0DB7D3D25
