?qid	?joinProp	?joinProp_guid
Q1000053	"109217"	Q1000053-18CAEE42-C66E-4121-A08C-21032FAB0E78
Q100269485	"26800"	Q100269485-B42F5D93-A102-495C-B8EC-3F3A8B278BB3
Q100276775	"100215"	Q100276775-ECAC6711-984A-44A5-9F47-7786D0F2D749
Q100308956	"32905"	Q100308956-462A1021-FE08-4E8F-B300-EE65CC980C60
Q100348099	"77393"	Q100348099-D9CC295A-EECA-4314-8DB9-88790B22153D
Q100375929	"38024"	Q100375929-263ED506-7E22-44C9-89FB-51CBDE970921
Q100417135	"107562"	Q100417135-5ED8DF6E-200E-463D-86A8-316492929EB9
Q100526292	"126759"	Q100526292-0bcb93fd-4635-ce04-1bdd-efc556c87bca
Q100605223	"67130"	Q100605223-E8641B12-7629-4330-B760-994FAF153480
Q100630389	"117638"	Q100630389-6dc86552-4343-bcc9-97cd-bebf744ca3f7
Q100706901	"9266920"	Q100706901-BB5212B4-0661-40D7-AD7A-9B2E50FDA25F
Q100761425	"14508"	Q100761425-BE04BF41-AC55-4AB9-8B45-FCDD34CE4775
Q100879343	"9276638"	Q100879343-35515B01-4647-471E-B7B7-91CCFFE3B13E
Q100963892	"108260"	Q100963892-FC253AA5-7E32-4861-9F05-60C99DFB3507
Q100987749	"1020099"	Q100987749-4AD01A74-90D1-4DAF-851C-2168627C0553
Q101008686	"121579"	Q101008686-1028461C-2DF2-4055-852F-445B6FF56DAE
Q101021225	"113416"	Q101021225-b8afc212-4652-fc1b-0a7b-20d52d23caf9
Q101097022	"90571"	Q101097022-366545F0-F2CC-426B-9374-2B78CA9FB8C8
Q101111778	"12186"	Q101111778-F86AA43D-673F-499B-A31A-D14DD779DF62
Q101136890	"76191"	Q101136890-C66BD31E-17C2-438C-AE6D-FCA7C3272F4C
Q101181655	"83471"	Q101181655-E0CCCF68-14BD-4532-9391-7C78331C4839
Q101196462	"127898"	Q101196462-93E0052C-D219-41B2-8DA0-E72127639306
Q101196632	"127594"	Q101196632-4611AE7E-F466-468A-B730-38ECBADEE6DF
Q101196971	"127901"	Q101196971-0A03A052-95A5-4195-81AD-03FE55F8B733
Q101197341	"127896"	Q101197341-FBDF1F6A-A7FC-4AAC-8C3F-1AD6DD94FAD1
Q101198561	"127235"	Q101198561-8FC381EE-95B5-4A2A-8540-681E01C3DB1B
Q101204553	"127930"	Q101204553-39DF13DC-7E00-48BD-A635-61164EEE1A41
Q101207829	"97504"	Q101207829-5C66AC6B-BD9E-4FDE-9FF7-928FDDC9EA29
Q101251378	"27199"	Q101251378-255BAFB4-4E65-49E1-A4FA-F1CEEF47E973
Q101252098	"104905"	Q101252098-3aa4d3b5-4f4f-71b0-2c60-015c758831c9
Q101410	"2732"	Q101410-2A84BFDD-2130-4B47-984E-A614CF147B4E
Q101423008	"128033"	Q101423008-63D5E8B6-07C2-46D6-AB52-B95D553895F8
Q101423348	"126874"	Q101423348-77E8E441-DB25-43CB-A807-6C7D045361BA
