?qid	?name
Q1000053	"Vasilij Alekseevič Nebenzja"@it
Q100269485	"Maria Elena Torano"@de
Q100276775	"Greisa Martínez Rosas"@ast
Q100308956	"Bruce C. Vladeck"@en
Q100348099	"Dane Keith Kennedy"@cs
Q100375929	"Stephanie Gonzales"@de
Q100417135	"Matt Walsh"@ast
Q100526292	"Dr. Simone Gold"@nl
Q100605223	"Eric J. Segall"@en
Q100630389	"Lei Zhang"@en
Q100706901	"Jake Sherman"@ast
Q100761425	"Bess Abell"@ast
Q100879343	"Mary Yeager"@ast
Q100963892	"Glenn Youngkin"@ca
Q100987749	"Matt Stoller"@en
Q101008686	"Rosina Lozano"@ast
Q101021225	"Nina Jankowicz"@ast
Q101097022	"Mike Madrid"@af
Q101111778	"Ron Cohen"@ast
Q101136890	"Kathy Manning"@ast
Q101181655	"Dan Baum"@ast
Q101196462	"August Pfluger"@ast
Q101196632	"Jake Auchincloss"@ast
Q101196971	"Blake Moore"@ast
Q101197341	"Diana Harshbarger"@ast
Q101198561	"Scott Franklin"@ast
Q101204553	"Mary E. Miller"@de
Q101207829	"William Alan Blair"@en
Q101251378	"Nancy Ross"@ast
Q101252098	"Chad Nackers"@ast
Q101410	"Franciscus Fillon"@la
Q101423008	"Julie Morita"@ast
Q101423348	"Christopher C. Miller"@ca
Q101428652	"Jasmine Crockett"@ast
Q101486630	"Al Schmidt"@ast
Q101535270	"Larry S. Gibson"@ast
Q101547	"Mbeki Tabo Mvuyelua"@uz
Q101704387	"John Matze"@ast
Q101713828	"Sidney Powell"@ast
Q1018322	"Buz Lukens"@ca
Q101994408	"Abby Livingston"@ast
Q102036550	"Kate Bedingfield"@ast
Q102047555	"Robert L. Lynch"@en
Q102124	"Sigorni Viver"@sr-el
Q102131357	"Sharon Block"@de
Q102158445	"Stuart F. Delery"@de
Q102163967	"Anton Fedyashin"@en
Q102164874	"Brandon Wales"@de
Q102184540	"Lisa McClain"@ast
Q102226702	"Barbara Hildt"@ast
Q102251251	"John M. Boyer"@en
Q102276493	"Cecilia Martinez"@en
Q102277679	"Andrew Clyde"@ast
Q102277702	"Jerry Carl"@ast
Q102291036	"Daniel Scott Ward"@en
Q102435716	"Diane Yap"@de
Q102454	"alfred marshall"@si
Q1026119	"Cal Dooley"@ast
Q102633602	"Edward A. Sayre"@en
Q1026532	"Caleb Carr"@ast
Q1027026	"Jeff Duncan"@ast
Q1027431	"Timothy E. Wirth"@cs
Q1027684	"Alton R. Waldon"@bar
Q102916453	"Jason Richwine"@en
Q1029527	"Steve Womack"@ast
Q10296812	"Mahometus Javād Zarīf"@la
Q102973819	"Ali Alexander"@de
Q1030299	"Earl Butz"@ast
Q10307858	"John Judis"@ast
Q10321395	"Mark Levine"@ast
Q10327963	"Mead Treadwell"@ast
Q1032918	"Candace Gingrich"@de
Q10329470	"Michael Shifter"@ast
Q1033016	"Halle Berija"@lv
Q103646	"Ronaldus Howard"@la
Q1037241	"Carl C. Perkins"@ast
Q10374168	"Stephen Haber"@ast
Q1037428	"Carl D. Perkins"@ast
Q103782254	"Hartina Flournoy"@ast
Q103801729	"Tiffany Cross"@ast
Q103850475	"Bob Good"@en
Q103852820	"Carla Jazzar"@de
Q10390	"Con Makkeyn"@az
Q10393899	"Wintley Phipps"@ast
Q103941992	"Ben LaBolt"@ast
Q104005858	"Greg Bluestein"@ast
Q1040310	"Carl Rowan"@af
Q104049	"Sidney Poitier"@ace
Q104056940	"Kim Hart"@ast
Q104076331	"Katherine Tai"@ast
Q104099679	"Jacqui Patterson"@ast
Q104125922	"Joyce Murdoch"@ast
Q104148369	"Greg Casar"@ast
Q104176273	"Jerrold M. Post"@cs
Q104224210	"Ali A. Zaidi"@sw
Q104224230	"Michael Regan"@fi
Q104236579	"John J. McNally"@ast
Q104244043	"Miguel Cardona"@ast
Q1043079	"Carlos Moorhead"@ast
Q104338731	"Reed Galen"@af
Q104374037	"Ben Hubbard"@ast
Q104374144	"Greg Jaffe"@ast
Q104376116	"Aaron Mehta"@ast
Q1044155	"Carol Bellamy"@ast
Q1044169	"Carol E. Dinkins"@ast
Q104438585	"Anne Khademian"@nl
Q104450417	"Melissa Murray"@ast
Q1045188	"Carroll Hubbard"@ast
Q104532425	"Amy Povah"@nl
Q1045798	"Carte Goodwin"@ast
Q104587353	"Kathleen Hicks"@ca
Q104622	"Tavakkul Karmán"@hu
Q104630020	"Greta Brawner"@ast
Q104630135	"Pedro Echevarria"@ast
Q104630378	"Libby Casey"@ast
Q104630428	"John McArdle"@ast
Q104630462	"Peter Slen"@ast
Q104630503	"Paul Orgel"@ast
Q104630697	"Ali E. Hillal Dessouki"@ast
Q104640827	"Carolyn Ann Knight"@ca
Q104642325	"Carl M. Cannon"@de
Q104648170	"Tony Gonzales"@ast
Q104682052	"Linda Zall"@ast
Q104688048	"Emmy Ruiz"@de
Q104690630	"Jo Tuckman"@de
Q104704577	"Gabriel Sterling"@de
Q104704599	"LaTosha Brown"@ast
Q104705928	"Samih Farsoun"@ast
Q1047146	"Casey Cagle"@ast
Q104717188	"Isabel Casillas Guzman"@bar
Q104718940	"Elie Mystal"@ast
Q104720641	"Michael C. Stenger"@de
Q1047230	"Casey Kasem"@ace
Q104735453	"Melissa Nobles"@ast
Q104761974	"Inez Stepman"@ast
Q104764170	"Don Graves"@ast
Q104783603	"Christopher F. Rufo"@de
Q104791	"Ed Haris"@sr-el
Q1048182	"Cass Ballenger"@ast
Q104834042	"Deanne Criswell"@de
Q104835199	"Shalanda Young"@af
Q104836720	"Tae Johnson"@de
Q104856400	"Brian P. McKeon"@de
Q104857238	"Uzra Zeya"@ca
Q104867920	"James Tobin"@ast
Q104894795	"John J. Pitney"@de
Q104936878	"David Huizenga"@de
Q1049643	"Ma Čao-sü"@cs
Q104999827	"Sameera Fazili"@ast
Q105044605	"Jane Nishida"@ast
Q105061782	"Jake Ellzey"@ast
Q105069906	"Louise Mailhot"@fr
Q105103645	"Philip Abrams"@de
Q105142115	"Harrison Ruffin Tyler"@ast
Q105142375	"George Cleveland"@en
Q105167	"Thomas Clancy"@la
Q1052306	"Cecil Heftel"@ast
Q105320353	"Kei Koizumi"@ast
Q105320717	"Kevin Shea"@en
Q105353067	"Marylou Sudders"@de
Q105393552	"Sheri Dillon"@de
Q105425617	"Desmond Lachman"@ast
Q105448418	"Aalayah Eastmond"@ast
Q105453182	"Elizabeth Cameron"@en
Q105459066	"Fani Willis"@bs
Q105460	"Džons Denvers"@lv
Q105470833	"Marina Murdock"@ast
Q105480	"Kenet Kaunda"@eo
Q105553206	"Ronald J. Tenpas"@ast
Q105562743	"Jeffrey Sammons"@en
Q105626402	"Elsa Walsh"@en
Q105662348	"Julie Wertz Chen"@de
Q105667	"Catherine Ashton"@ast
Q105667131	"Judith Ann Giesberg"@ast
Q1057418	"Joseph C. (Joseph Charles) Wilson"@cs
Q105750350	"Thaddeus Garrett"@ast
Q105756	"Con Apdayk"@az
Q105763523	"Dilawar Syed"@de
Q105763534	"Paul Abbate"@de
Q1058	"Modi Narendra"@vep
Q105817	"Kevin Klajn"@sr-el
Q105834537	"Allen Chen"@en
Q105840277	"Bonnie Guiton"@de
Q105849203	"John J. Curley"@en
Q105865073	"Mary Hatwood Futrell"@en
Q1059265	"Chaka Fattah"@ast
Q105946295	"Ginger Adams Otis"@de
Q105946646	"Pierre Thomas"@ast
Q105958873	"Linda Johnson Rice"@de
Q105958890	"Patricia Russell-McCloud"@de
Q1060181	"Chalmers Johnson"@ast
Q1060609	"Mark Thompson"@af
Q106089241	"Julia Letlow"@ast
Q106169496	"Cynthia E. Orozco"@dag
Q106193	"Larss Ulriks"@lv
Q106235	"Hans-Dietrich Genscher"@af
Q106287238	"Candace Jackson-Akiwumi"@ast
Q106315139	"Val Arkoosh"@de
Q106316982	"Peter Charles Hoffer"@en
Q106355213	"Ronald Moultrie"@de
Q1063677	"Charles Bass"@ast
Q1063859	"Charles Byron Renfrew"@ast
Q106399446	"Kathy Barnette"@da
Q1064244	"Charles E. Bennett (politician)"@cs
Q1064383	"Charles Floyd Hatcher"@ast
Q1064457	"Charles Fried"@af
Q106448072	"Julie Rovner"@en
Q1064593	"Charles Grandison Rose"@de
Q106465	"Con Qrişam"@az
Q1064692	"Charles H. Percy"@ca
Q1064695	"Charles H. Taylor"@ast
Q1064774	"Charles Arthur Hayes"@fr
Q10648	"Gòrdan Mac a' Bhriuthainn"@gd
Q106480279	"Kathleen Plinske"@ast
Q106481340	"Susanna Blume"@de
Q106490056	"Jerry C. Davis"@ast
Q106513	"Richard Sonnenfeldt"@ast
Q10652	"Ailig Salmond"@gd
Q1065216	"Charles Krauthammer"@ast
Q106522145	"Max Miller"@ast
Q106529099	"Meredith Sumpter"@en
Q106534716	"Christopher C. Jeter"@en
Q106540517	"June Teufel Dreyer"@ca
Q106543540	"Sam Bankman-Fried"@af
Q1065595	"Charles A. Murray"@cs
Q1065683	"Charles Orville Whitley"@ast
Q106570273	"Graeme B. Dinwoodie"@pl
Q1065727	"Charles Pashayan"@de
Q106579388	"Mark Johnson"@ast
Q106589463	"Jamal Greene"@en
Q1065931	"Charles Britt"@it
Q1065951	"Charles Ruff"@ast
