?qid	?name
<http://www.wikidata.org/entity/Q1000053>	"Vasilij Alekseevič Nebenzja"@it
<http://www.wikidata.org/entity/Q100269485>	"Maria Elena Torano"@de
<http://www.wikidata.org/entity/Q100276775>	"Greisa Martínez Rosas"@ast
<http://www.wikidata.org/entity/Q100308956>	"Bruce C. Vladeck"@en
<http://www.wikidata.org/entity/Q100348099>	"Dane Keith Kennedy"@cs
<http://www.wikidata.org/entity/Q100375929>	"Stephanie Gonzales"@de
<http://www.wikidata.org/entity/Q100417135>	"Matt Walsh"@ast
<http://www.wikidata.org/entity/Q100526292>	"Dr. Simone Gold"@nl
<http://www.wikidata.org/entity/Q100605223>	"Eric J. Segall"@en
<http://www.wikidata.org/entity/Q100630389>	"Lei Zhang"@en
<http://www.wikidata.org/entity/Q100706901>	"Jake Sherman"@ast
<http://www.wikidata.org/entity/Q100761425>	"Bess Abell"@ast
<http://www.wikidata.org/entity/Q100879343>	"Mary Yeager"@ast
<http://www.wikidata.org/entity/Q100963892>	"Glenn Youngkin"@ca
<http://www.wikidata.org/entity/Q100987749>	"Matt Stoller"@en
<http://www.wikidata.org/entity/Q101008686>	"Rosina Lozano"@ast
<http://www.wikidata.org/entity/Q101021225>	"Nina Jankowicz"@ast
<http://www.wikidata.org/entity/Q101097022>	"Mike Madrid"@af
<http://www.wikidata.org/entity/Q101111778>	"Ron Cohen"@ast
<http://www.wikidata.org/entity/Q101136890>	"Kathy Manning"@ast
<http://www.wikidata.org/entity/Q101181655>	"Dan Baum"@ast
<http://www.wikidata.org/entity/Q101196462>	"August Pfluger"@ast
<http://www.wikidata.org/entity/Q101196632>	"Jake Auchincloss"@ast
<http://www.wikidata.org/entity/Q101196971>	"Blake Moore"@ast
<http://www.wikidata.org/entity/Q101197341>	"Diana Harshbarger"@ast
<http://www.wikidata.org/entity/Q101198561>	"Scott Franklin"@ast
<http://www.wikidata.org/entity/Q101204553>	"Mary E. Miller"@de
<http://www.wikidata.org/entity/Q101207829>	"William Alan Blair"@en
<http://www.wikidata.org/entity/Q101251378>	"Nancy Ross"@ast
<http://www.wikidata.org/entity/Q101252098>	"Chad Nackers"@ast
<http://www.wikidata.org/entity/Q101410>	"Franciscus Fillon"@la
<http://www.wikidata.org/entity/Q101423008>	"Julie Morita"@ast
<http://www.wikidata.org/entity/Q101423348>	"Christopher C. Miller"@ca
<http://www.wikidata.org/entity/Q101428652>	"Jasmine Crockett"@ast
<http://www.wikidata.org/entity/Q101486630>	"Al Schmidt"@ast
<http://www.wikidata.org/entity/Q101535270>	"Larry S. Gibson"@ast
<http://www.wikidata.org/entity/Q101547>	"Mbeki Tabo Mvuyelua"@uz
<http://www.wikidata.org/entity/Q101704387>	"John Matze"@ast
<http://www.wikidata.org/entity/Q101713828>	"Sidney Powell"@ast
<http://www.wikidata.org/entity/Q1018322>	"Buz Lukens"@ca
<http://www.wikidata.org/entity/Q101994408>	"Abby Livingston"@ast
<http://www.wikidata.org/entity/Q102036550>	"Kate Bedingfield"@ast
<http://www.wikidata.org/entity/Q102047555>	"Robert L. Lynch"@en
<http://www.wikidata.org/entity/Q102124>	"Sigorni Viver"@sr-el
<http://www.wikidata.org/entity/Q102131357>	"Sharon Block"@de
<http://www.wikidata.org/entity/Q102158445>	"Stuart F. Delery"@de
<http://www.wikidata.org/entity/Q102163967>	"Anton Fedyashin"@en
<http://www.wikidata.org/entity/Q102164874>	"Brandon Wales"@de
<http://www.wikidata.org/entity/Q102184540>	"Lisa McClain"@ast
<http://www.wikidata.org/entity/Q102226702>	"Barbara Hildt"@ast
<http://www.wikidata.org/entity/Q102251251>	"John M. Boyer"@en
<http://www.wikidata.org/entity/Q102276493>	"Cecilia Martinez"@en
<http://www.wikidata.org/entity/Q102277679>	"Andrew Clyde"@ast
<http://www.wikidata.org/entity/Q102277702>	"Jerry Carl"@ast
<http://www.wikidata.org/entity/Q102291036>	"Daniel Scott Ward"@en
<http://www.wikidata.org/entity/Q102435716>	"Diane Yap"@de
<http://www.wikidata.org/entity/Q102454>	"alfred marshall"@si
<http://www.wikidata.org/entity/Q1026119>	"Cal Dooley"@ast
<http://www.wikidata.org/entity/Q102633602>	"Edward A. Sayre"@en
<http://www.wikidata.org/entity/Q1026532>	"Caleb Carr"@ast
<http://www.wikidata.org/entity/Q1027026>	"Jeff Duncan"@ast
<http://www.wikidata.org/entity/Q1027431>	"Timothy E. Wirth"@cs
<http://www.wikidata.org/entity/Q1027684>	"Alton R. Waldon"@bar
<http://www.wikidata.org/entity/Q102916453>	"Jason Richwine"@en
<http://www.wikidata.org/entity/Q1029527>	"Steve Womack"@ast
<http://www.wikidata.org/entity/Q10296812>	"Mahometus Javād Zarīf"@la
<http://www.wikidata.org/entity/Q102973819>	"Ali Alexander"@de
<http://www.wikidata.org/entity/Q1030299>	"Earl Butz"@ast
<http://www.wikidata.org/entity/Q10307858>	"John Judis"@ast
<http://www.wikidata.org/entity/Q10321395>	"Mark Levine"@ast
<http://www.wikidata.org/entity/Q10327963>	"Mead Treadwell"@ast
<http://www.wikidata.org/entity/Q1032918>	"Candace Gingrich"@de
<http://www.wikidata.org/entity/Q10329470>	"Michael Shifter"@ast
<http://www.wikidata.org/entity/Q1033016>	"Halle Berija"@lv
<http://www.wikidata.org/entity/Q103646>	"Ronaldus Howard"@la
<http://www.wikidata.org/entity/Q1037241>	"Carl C. Perkins"@ast
<http://www.wikidata.org/entity/Q10374168>	"Stephen Haber"@ast
<http://www.wikidata.org/entity/Q1037428>	"Carl D. Perkins"@ast
<http://www.wikidata.org/entity/Q103782254>	"Hartina Flournoy"@ast
<http://www.wikidata.org/entity/Q103801729>	"Tiffany Cross"@ast
<http://www.wikidata.org/entity/Q103850475>	"Bob Good"@en
<http://www.wikidata.org/entity/Q103852820>	"Carla Jazzar"@de
<http://www.wikidata.org/entity/Q10390>	"Con Makkeyn"@az
<http://www.wikidata.org/entity/Q10393899>	"Wintley Phipps"@ast
<http://www.wikidata.org/entity/Q103941992>	"Ben LaBolt"@ast
<http://www.wikidata.org/entity/Q104005858>	"Greg Bluestein"@ast
<http://www.wikidata.org/entity/Q1040310>	"Carl Rowan"@af
<http://www.wikidata.org/entity/Q104049>	"Sidney Poitier"@ace
<http://www.wikidata.org/entity/Q104056940>	"Kim Hart"@ast
<http://www.wikidata.org/entity/Q104076331>	"Katherine Tai"@ast
<http://www.wikidata.org/entity/Q104099679>	"Jacqui Patterson"@ast
<http://www.wikidata.org/entity/Q104125922>	"Joyce Murdoch"@ast
<http://www.wikidata.org/entity/Q104148369>	"Greg Casar"@ast
<http://www.wikidata.org/entity/Q104176273>	"Jerrold M. Post"@cs
<http://www.wikidata.org/entity/Q104224210>	"Ali A. Zaidi"@sw
<http://www.wikidata.org/entity/Q104224230>	"Michael Regan"@fi
<http://www.wikidata.org/entity/Q104236579>	"John J. McNally"@ast
<http://www.wikidata.org/entity/Q104244043>	"Miguel Cardona"@ast
<http://www.wikidata.org/entity/Q1043079>	"Carlos Moorhead"@ast
<http://www.wikidata.org/entity/Q104338731>	"Reed Galen"@af
<http://www.wikidata.org/entity/Q104374037>	"Ben Hubbard"@ast
<http://www.wikidata.org/entity/Q104374144>	"Greg Jaffe"@ast
<http://www.wikidata.org/entity/Q104376116>	"Aaron Mehta"@ast
<http://www.wikidata.org/entity/Q1044155>	"Carol Bellamy"@ast
<http://www.wikidata.org/entity/Q1044169>	"Carol E. Dinkins"@ast
<http://www.wikidata.org/entity/Q104438585>	"Anne Khademian"@nl
<http://www.wikidata.org/entity/Q104450417>	"Melissa Murray"@ast
<http://www.wikidata.org/entity/Q1045188>	"Carroll Hubbard"@ast
<http://www.wikidata.org/entity/Q104532425>	"Amy Povah"@nl
<http://www.wikidata.org/entity/Q1045798>	"Carte Goodwin"@ast
<http://www.wikidata.org/entity/Q104587353>	"Kathleen Hicks"@ca
<http://www.wikidata.org/entity/Q104622>	"Tavakkul Karmán"@hu
<http://www.wikidata.org/entity/Q104630020>	"Greta Brawner"@ast
<http://www.wikidata.org/entity/Q104630135>	"Pedro Echevarria"@ast
<http://www.wikidata.org/entity/Q104630378>	"Libby Casey"@ast
<http://www.wikidata.org/entity/Q104630428>	"John McArdle"@ast
<http://www.wikidata.org/entity/Q104630462>	"Peter Slen"@ast
<http://www.wikidata.org/entity/Q104630503>	"Paul Orgel"@ast
<http://www.wikidata.org/entity/Q104630697>	"Ali E. Hillal Dessouki"@ast
<http://www.wikidata.org/entity/Q104640827>	"Carolyn Ann Knight"@ca
<http://www.wikidata.org/entity/Q104642325>	"Carl M. Cannon"@de
<http://www.wikidata.org/entity/Q104648170>	"Tony Gonzales"@ast
<http://www.wikidata.org/entity/Q104682052>	"Linda Zall"@ast
<http://www.wikidata.org/entity/Q104688048>	"Emmy Ruiz"@de
<http://www.wikidata.org/entity/Q104690630>	"Jo Tuckman"@de
<http://www.wikidata.org/entity/Q104704577>	"Gabriel Sterling"@de
<http://www.wikidata.org/entity/Q104704599>	"LaTosha Brown"@ast
<http://www.wikidata.org/entity/Q104705928>	"Samih Farsoun"@ast
<http://www.wikidata.org/entity/Q1047146>	"Casey Cagle"@ast
<http://www.wikidata.org/entity/Q104717188>	"Isabel Casillas Guzman"@bar
<http://www.wikidata.org/entity/Q104718940>	"Elie Mystal"@ast
<http://www.wikidata.org/entity/Q104720641>	"Michael C. Stenger"@de
<http://www.wikidata.org/entity/Q1047230>	"Casey Kasem"@ace
<http://www.wikidata.org/entity/Q104735453>	"Melissa Nobles"@ast
<http://www.wikidata.org/entity/Q104761974>	"Inez Stepman"@ast
<http://www.wikidata.org/entity/Q104764170>	"Don Graves"@ast
<http://www.wikidata.org/entity/Q104783603>	"Christopher F. Rufo"@de
<http://www.wikidata.org/entity/Q104791>	"Ed Haris"@sr-el
<http://www.wikidata.org/entity/Q1048182>	"Cass Ballenger"@ast
<http://www.wikidata.org/entity/Q104834042>	"Deanne Criswell"@de
<http://www.wikidata.org/entity/Q104835199>	"Shalanda Young"@af
<http://www.wikidata.org/entity/Q104836720>	"Tae Johnson"@de
<http://www.wikidata.org/entity/Q104856400>	"Brian P. McKeon"@de
<http://www.wikidata.org/entity/Q104857238>	"Uzra Zeya"@ca
<http://www.wikidata.org/entity/Q104867920>	"James Tobin"@ast
<http://www.wikidata.org/entity/Q104894795>	"John J. Pitney"@de
<http://www.wikidata.org/entity/Q104936878>	"David Huizenga"@de
<http://www.wikidata.org/entity/Q1049643>	"Ma Čao-sü"@cs
<http://www.wikidata.org/entity/Q104999827>	"Sameera Fazili"@ast
<http://www.wikidata.org/entity/Q105044605>	"Jane Nishida"@ast
<http://www.wikidata.org/entity/Q105061782>	"Jake Ellzey"@ast
<http://www.wikidata.org/entity/Q105069906>	"Louise Mailhot"@fr
<http://www.wikidata.org/entity/Q105103645>	"Philip Abrams"@de
<http://www.wikidata.org/entity/Q105142115>	"Harrison Ruffin Tyler"@ast
<http://www.wikidata.org/entity/Q105142375>	"George Cleveland"@en
<http://www.wikidata.org/entity/Q105167>	"Thomas Clancy"@la
<http://www.wikidata.org/entity/Q1052306>	"Cecil Heftel"@ast
<http://www.wikidata.org/entity/Q105320353>	"Kei Koizumi"@ast
<http://www.wikidata.org/entity/Q105320717>	"Kevin Shea"@en
<http://www.wikidata.org/entity/Q105353067>	"Marylou Sudders"@de
<http://www.wikidata.org/entity/Q105393552>	"Sheri Dillon"@de
<http://www.wikidata.org/entity/Q105425617>	"Desmond Lachman"@ast
<http://www.wikidata.org/entity/Q105448418>	"Aalayah Eastmond"@ast
<http://www.wikidata.org/entity/Q105453182>	"Elizabeth Cameron"@en
<http://www.wikidata.org/entity/Q105459066>	"Fani Willis"@bs
<http://www.wikidata.org/entity/Q105460>	"Džons Denvers"@lv
<http://www.wikidata.org/entity/Q105470833>	"Marina Murdock"@ast
<http://www.wikidata.org/entity/Q105480>	"Kenet Kaunda"@eo
<http://www.wikidata.org/entity/Q105553206>	"Ronald J. Tenpas"@ast
<http://www.wikidata.org/entity/Q105562743>	"Jeffrey Sammons"@en
<http://www.wikidata.org/entity/Q105626402>	"Elsa Walsh"@en
<http://www.wikidata.org/entity/Q105662348>	"Julie Wertz Chen"@de
<http://www.wikidata.org/entity/Q105667>	"Catherine Ashton"@ast
<http://www.wikidata.org/entity/Q105667131>	"Judith Ann Giesberg"@ast
<http://www.wikidata.org/entity/Q1057418>	"Joseph C. (Joseph Charles) Wilson"@cs
<http://www.wikidata.org/entity/Q105750350>	"Thaddeus Garrett"@ast
<http://www.wikidata.org/entity/Q105756>	"Con Apdayk"@az
<http://www.wikidata.org/entity/Q105763523>	"Dilawar Syed"@de
<http://www.wikidata.org/entity/Q105763534>	"Paul Abbate"@de
<http://www.wikidata.org/entity/Q1058>	"Modi Narendra"@vep
<http://www.wikidata.org/entity/Q105817>	"Kevin Klajn"@sr-el
<http://www.wikidata.org/entity/Q105834537>	"Allen Chen"@en
<http://www.wikidata.org/entity/Q105840277>	"Bonnie Guiton"@de
<http://www.wikidata.org/entity/Q105849203>	"John J. Curley"@en
<http://www.wikidata.org/entity/Q105865073>	"Mary Hatwood Futrell"@en
<http://www.wikidata.org/entity/Q1059265>	"Chaka Fattah"@ast
<http://www.wikidata.org/entity/Q105946295>	"Ginger Adams Otis"@de
<http://www.wikidata.org/entity/Q105946646>	"Pierre Thomas"@ast
<http://www.wikidata.org/entity/Q105958873>	"Linda Johnson Rice"@de
<http://www.wikidata.org/entity/Q105958890>	"Patricia Russell-McCloud"@de
<http://www.wikidata.org/entity/Q1060181>	"Chalmers Johnson"@ast
<http://www.wikidata.org/entity/Q1060609>	"Mark Thompson"@af
<http://www.wikidata.org/entity/Q106089241>	"Julia Letlow"@ast
<http://www.wikidata.org/entity/Q106169496>	"Cynthia E. Orozco"@dag
<http://www.wikidata.org/entity/Q106193>	"Larss Ulriks"@lv
<http://www.wikidata.org/entity/Q106235>	"Hans-Dietrich Genscher"@af
<http://www.wikidata.org/entity/Q106287238>	"Candace Jackson-Akiwumi"@ast
<http://www.wikidata.org/entity/Q106315139>	"Val Arkoosh"@de
<http://www.wikidata.org/entity/Q106316982>	"Peter Charles Hoffer"@en
<http://www.wikidata.org/entity/Q106355213>	"Ronald Moultrie"@de
<http://www.wikidata.org/entity/Q1063677>	"Charles Bass"@ast
<http://www.wikidata.org/entity/Q1063859>	"Charles Byron Renfrew"@ast
<http://www.wikidata.org/entity/Q106399446>	"Kathy Barnette"@da
<http://www.wikidata.org/entity/Q1064244>	"Charles E. Bennett (politician)"@cs
<http://www.wikidata.org/entity/Q1064383>	"Charles Floyd Hatcher"@ast
<http://www.wikidata.org/entity/Q1064457>	"Charles Fried"@af
<http://www.wikidata.org/entity/Q106448072>	"Julie Rovner"@en
<http://www.wikidata.org/entity/Q1064593>	"Charles Grandison Rose"@de
<http://www.wikidata.org/entity/Q106465>	"Con Qrişam"@az
<http://www.wikidata.org/entity/Q1064692>	"Charles H. Percy"@ca
<http://www.wikidata.org/entity/Q1064695>	"Charles H. Taylor"@ast
<http://www.wikidata.org/entity/Q1064774>	"Charles Arthur Hayes"@fr
<http://www.wikidata.org/entity/Q10648>	"Gòrdan Mac a' Bhriuthainn"@gd
<http://www.wikidata.org/entity/Q106480279>	"Kathleen Plinske"@ast
<http://www.wikidata.org/entity/Q106481340>	"Susanna Blume"@de
<http://www.wikidata.org/entity/Q106490056>	"Jerry C. Davis"@ast
<http://www.wikidata.org/entity/Q106513>	"Richard Sonnenfeldt"@ast
<http://www.wikidata.org/entity/Q10652>	"Ailig Salmond"@gd
<http://www.wikidata.org/entity/Q1065216>	"Charles Krauthammer"@ast
<http://www.wikidata.org/entity/Q106522145>	"Max Miller"@ast
<http://www.wikidata.org/entity/Q106529099>	"Meredith Sumpter"@en
<http://www.wikidata.org/entity/Q106534716>	"Christopher C. Jeter"@en
<http://www.wikidata.org/entity/Q106540517>	"June Teufel Dreyer"@ca
<http://www.wikidata.org/entity/Q106543540>	"Sam Bankman-Fried"@af
<http://www.wikidata.org/entity/Q1065595>	"Charles A. Murray"@cs
<http://www.wikidata.org/entity/Q1065683>	"Charles Orville Whitley"@ast
<http://www.wikidata.org/entity/Q106570273>	"Graeme B. Dinwoodie"@pl
<http://www.wikidata.org/entity/Q1065727>	"Charles Pashayan"@de
<http://www.wikidata.org/entity/Q106579388>	"Mark Johnson"@ast
<http://www.wikidata.org/entity/Q106589463>	"Jamal Greene"@en
<http://www.wikidata.org/entity/Q1065931>	"Charles Britt"@it
<http://www.wikidata.org/entity/Q1065951>	"Charles Ruff"@ast
<http://www.wikidata.org/entity/Q106617240>	"Leila Nathoo"@an
<http://www.wikidata.org/entity/Q106638282>	"Stephen Wermiel"@de
<http://www.wikidata.org/entity/Q106688196>	"Amy Woolard"@en
<http://www.wikidata.org/entity/Q1066931>	"Charlie Luken"@ast
<http://www.wikidata.org/entity/Q106694209>	"Eduardo Gamarra"@ast
<http://www.wikidata.org/entity/Q106723477>	"Christina Campbell-Cline"@de
<http://www.wikidata.org/entity/Q106730251>	"Toby Stock"@de
<http://www.wikidata.org/entity/Q106804665>	"Sally Buzbee"@af
<http://www.wikidata.org/entity/Q106900901>	"Brenda Mallory"@ast
<http://www.wikidata.org/entity/Q106988676>	"Peter W. Wood"@de
<http://www.wikidata.org/entity/Q106997>	"Ceymi Li Körtis"@az
<http://www.wikidata.org/entity/Q107024052>	"DaMaris B. Hill"@en
<http://www.wikidata.org/entity/Q1070268>	"Peter Hessler"@ast
